Importing IMU data from the Matlab matrix file : test_data/xsens_acc.mat
Importing IMU data from the Matlab matrix file : test_data/xsens_gyro.mat
Accelerometer Calibration: Calibrating...
Accelerometers Calibration: Extracted 42 intervals using threshold multiplier 2 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
  44  1.212257e+17    5.77e+15    6.96e+17   6.37e-01   5.67e-01  1.67e+00        1    8.80e-04    3.84e-02
  45  1.157033e+17    5.52e+15    6.73e+17   6.18e-01   5.66e-01  1.68e+00        1    8.48e-04    3.92e-02
  46  1.104214e+17    5.28e+15    6.52e+17   6.01e-01   5.65e-01  1.68e+00        1    9.93e-04    4.02e-02
  47  1.053707e+17    5.05e+15    6.31e+17   5.86e-01   5.64e-01  1.69e+00        1    8.77e-04    4.11e-02
  48  1.005418e+17    4.83e+15    6.11e+17   5.72e-01   5.63e-01  1.69e+00        1    8.35e-04    4.20e-02
  49  9.592586e+16    4.62e+15    5.91e+17   5.59e-01   5.62e-01  1.69e+00        1    8.34e-04    4.28e-02
  50  9.151412e+16    4.41e+15    5.72e+17   5.48e-01   5.62e-01  1.70e+00        1    8.87e-04    4.37e-02
residual 9.15141e+16
Accelerometers Calibration: Extracted 39 intervals using threshold multiplier 4 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  5.231289e+17    0.00e+00    5.03e+18   0.00e+00   0.00e+00  1.00e+04        0    4.42e-04    6.08e-04
   1  5.914825e+19   -5.86e+19    5.03e+18   2.37e+04  -1.12e+02  5.00e+03        1    4.36e-04    1.05e-03
   2  5.381446e+19   -5.33e+19    5.03e+18   2.24e+04  -1.02e+02  1.25e+03        1    4.24e-04    1.49e-03
   3  4.127514e+19   -4.08e+19    5.03e+18   1.87e+04  -7.88e+01  1.56e+02        1    4.24e-04    1.92e-03
   4  1.081151e+19   -1.03e+19    5.03e+18   9.57e+03  -2.35e+01  9.77e+00        1    4.25e-04    2.35e-03
   5  5.409717e+17   -1.78e+16    5.03e+18   1.29e+03  -1.13e-01  3.05e-01        1    4.24e-04    2.78e-03
   6  4.925959e+17    3.05e+16    3.61e+18   2.47e+02   4.25e-01  3.04e-01        1    8.47e-04    3.63e-03
   7  4.777935e+17    1.48e+16    2.69e+18   1.46e+02   4.59e-01  3.04e-01        1    8.84e-04    4.53e-03
   8  4.689550e+17    8.84e+15    2.09e+18   8.82e+01   5.24e-01  3.04e-01        1    8.16e-04    5.35e-03
   9  4.625506e+17    6.40e+15    1.71e+18   5.49e+01   6.09e-01  3.07e-01        1    8.17e-04    6.17e-03
  10  4.572140e+17    5.34e+15    1.46e+18   3.52e+01   6.93e-01  3.26e-01        1    8.65e-04    7.05e-03
  11  4.522245e+17    4.99e+15    1.29e+18   2.32e+01   7.61e-01  3.80e-01        1    8.54e-04    7.91e-03
  12  4.469656e+17    5.26e+15    1.18e+18   1.54e+01   8.12e-01  5.03e-01        1    8.53e-04    8.77e-03
  13  4.406720e+17    6.29e+15    1.14e+18   1.38e+01   8.42e-01  7.39e-01        1    8.52e-04    9.62e-03
  14  4.323591e+17    8.31e+15    1.17e+18   2.69e+01   8.34e-01  1.05e+00        1    8.52e-04    1.05e-02
  15  4.214485e+17    1.09e+16    1.28e+18   4.23e+01   7.77e-01  1.27e+00        1    9.61e-04    1.15e-02
  16  4.083685e+17    1.31e+16    1.38e+18   3.62e+01   7.06e-01  1.36e+00        1    8.17e-04    1.23e-02
  17  3.940560e+17    1.43e+16    1.43e+18   2.21e+01   6.58e-01  1.41e+00        1    8.17e-04    1.31e-02
  18  3.793403e+17    1.47e+16    1.44e+18   1.28e+01   6.33e-01  1.43e+00        1    8.16e-04    1.39e-02
  19  3.646621e+17    1.47e+16    1.43e+18   7.68e+00   6.19e-01  1.45e+00        1    9.66e-04    1.49e-02
  20  3.502372e+17    1.44e+16    1.41e+18   4.90e+00   6.11e-01  1.47e+00        1    8.16e-04    1.57e-02
  21  3.361719e+17    1.41e+16    1.38e+18   3.41e+00   6.06e-01  1.48e+00        1    8.16e-04    1.65e-02
  22  3.225166e+17    1.37e+16    1.35e+18   2.60e+00   6.02e-01  1.50e+00        1    8.60e-04    1.74e-02
  23  3.092939e+17    1.32e+16    1.31e+18   2.14e+00   5.99e-01  1.51e+00        1    8.17e-04    1.82e-02
  24  2.965115e+17    1.28e+16    1.28e+18   1.85e+00   5.96e-01  1.52e+00        1    9.07e-04    1.91e-02
  25  2.841700e+17    1.23e+16    1.25e+18   1.66e+00   5.94e-01  1.53e+00        1    8.17e-04    2.00e-02
